date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
2023-11-01,743951,335,913,040,349,63
2023-11-16,557990,346,412,778,961,14
2023-12-01,251097,055,265,092,280,91
2023-12-16,356757,058,410,584,964,85
2023-12-30,625544,600,648,292,481,89
2024-01-17,105979,209,429,196,482,61
2024-02-01,607063,454,943,544,591,09
2024-02-16,941395,056,330,375,587,43
2024-03-01,253603,005,975,382,703,79
2024-03-16,997626,509,571,329,941,78
2024-04-01,803481,122,809,559,947,90
2024-04-16,943598,396,729,154,200,79
2024-05-02,980116,104,798,046,812,17
2024-05-16,205690,747,885,070,137,60
2024-06-01,530593,194,364,421,734,42
2024-06-16,518504,428,538,016,426,31
2024-07-01,434503,327,839,426,438,89
2024-07-16,367336,331,596,107,210,21
2024-08-01,407041,408,517,016,620,46
2024-08-16,095867,213,334,697,728,28
2024-09-01,199606,173,220,094,388,94
2024-09-16,170750,421,933,348,635,37
2024-10-01,002198,377,792,029,279,59
2024-10-16,482962,561,648,493,919,00
2024-11-01,536044,174,225,063,231,32
2024-11-16,187221,036,492,541,980,38
2024-12-01,452794,228,349,261,617,84
2024-12-16,397551,468,744,300,808,61
2024-12-30,905953,047,233,184,337,36
2025-01-02,730209,065,446,297,376,51
2025-01-17,807779,699,961,448,477,23
2025-02-01,558700,285,418,685,824,51
2025-02-16,847377,268,613,001,652,50
2025-03-01,818894,139,530,656,781,54
2025-03-16,757563,595,927,309,457,32
2025-04-01,669687,635,760,180,666,36
2025-04-16,266227,254,413,474,760,85
2025-05-02,213388,116,826,167,662,06
2025-05-16,251309,109,231,631,965,87
2025-06-01,559352,134,349,044,307,20
2025-06-16,507392,017,243,299,736,06
2025-07-01,949246,169,680,261,918,91
2025-07-16,245324,995,171,084,336,26
2025-08-01,811852,142,525,512,891,50
2025-08-16,994865,247,602,834,989,63
2025-09-01,506356,131,012,022,209,31
2025-09-16,074646,512,740,308,703,58
2025-10-01,876978,843,532,280,605,77
2025-10-16,059696,531,955,476,889,61
2025-11-01,345898,328,449,111,690,87
2025-11-16,458145,242,602,239,389,37
2025-12-01,461252,655,389,137,995,22
