date,first_prize,three_digit_1,three_digit_2,three_digit_3,three_digit_4,two_digit
2001-08-16,690135,217,717,900,588,10
2001-09-01,119067,145,294,218,532,14
2001-09-16,616426,995,806,291,089,82
2001-10-01,104154,827,303,287,058,15
2001-10-16,975005,070,626,110,670,48
2001-11-01,683472,392,081,694,431,52
2001-11-16,685706,339,976,600,275,74
2001-12-01,737022,713,461,773,925,49
2001-12-16,224675,887,538,363,902,19
2001-12-30,729367,873,974,611,107,64
2002-01-16,709670,895,116,434,109,14
2002-02-01,633270,956,414,621,859,40
2002-02-16,330853,167,820,088,769,92
2002-03-01,805590,748,715,434,856,55
2002-03-16,659152,370,066,707,943,04
2002-04-01,990543,971,430,225,456,57
2002-04-16,522630,586,949,997,085,37
2002-05-02,590664,764,739,695,503,56
2002-05-16,598714,765,725,394,508,76
2002-06-01,161149,879,643,328,485,02
2002-06-16,073261,472,156,662,845,07
2002-07-01,481447,195,517,763,802,24
2002-07-16,340264,304,632,539,034,69
2002-08-01,493438,269,645,544,529,88
2002-08-16,120108,705,173,953,147,57
2002-09-01,994200,126,799,046,395,51
2002-09-16,156050,056,889,823,169,85
2002-10-01,802505,864,567,358,189,72
2002-10-16,428641,150,401,244,177,51
2002-11-01,505498,341,297,747,383,25
2002-11-16,915344,191,843,789,906,55
2002-12-01,968422,298,088,337,809,37
2002-12-16,019682,616,312,075,849,67
2002-12-30,895196,191,116,689,609,95
2003-01-16,977085,441,535,519,262,06
2003-02-01,456370,661,429,806,229,94
2003-02-17,455578,805,496,980,857,61
2003-03-01,441022,322,026,707,628,42
2003-03-16,653062,820,208,702,038,64
2003-04-01,933164,467,863,732,902,86
2003-04-16,892525,933,906,796,823,21
2003-05-02,135603,498,870,386,522,12
2003-05-16,552784,608,048,699,362,20
2003-06-01,766066,083,523,354,686,36
2003-06-16,389872,605,995,922,006,29
2003-07-01,461414,151,878,395,282,91
2003-07-16,679545,049,589,281,363,75
2003-08-01,766098,733,856,007,460,91
2003-08-16,354771,496,271,206,624,00
2003-09-01,187813,661,918,793,249,92
2003-09-16,600589,909,356,996,494,53
2003-10-01,912040,407,100,379,563,43
2003-10-16,305500,109,012,084,470,03
2003-11-01,941438,866,156,216,264,47
2003-11-16,238511,155,767,594,474,68
2003-12-01,991307,945,719,559,217,78
2003-12-16,177947,676,847,735,571,87
2003-12-30,739447,654,435,743,216,64
2004-01-16,731342,025,357,926,391,96
2004-02-01,216822,361,242,769,765,77
2004-02-16,698002,877,309,798,072,00
2004-03-01,697483,610,510,759,206,50
2004-03-16,615366,779,094,478,830,69
2004-04-01,196391,808,918,257,851,62
2004-04-16,705832,008,966,634,721,12
2004-05-02,653403,385,550,822,101,91
2004-05-16,589207,492,992,526,253,13
2004-06-01,614144,990,776,425,992,72
2004-06-16,208713,414,911,459,986,87
2004-07-01,312471,313,598,664,261,66
2004-07-16,205588,696,726,461,154,25
2004-08-02,868990,956,811,510,377,45
2004-08-16,335921,114,082,559,288,59
2004-09-01,096597,709,929,014,456,70
2004-09-16,923373,295,888,774,867,59
2004-10-01,110866,200,547,781,806,66
2004-10-16,355858,162,200,438,890,62
2004-11-01,185966,862,137,745,661,23
2004-11-16,754622,918,019,744,904,64
2004-12-01,504658,139,014,984,691,69
2004-12-16,479372,288,075,999,183,17
2004-12-30,168858,221,603,627,179,28
2005-01-16,335022,689,291,039,479,08
2005-02-01,540054,389,180,863,571,34
2005-02-16,816422,086,356,192,065,53
2005-03-01,800751,681,714,998,669,93
2005-03-16,196345,073,601,783,394,03
